Datum;Zeit;Anrufer;Angerufener;Typ;Richtung;Dauer
Mi. 06.04.2022;18:44:31;+491331234566;+491511234555;SPRACHE;S;01:09
Do. 07.04.2022;04:18:34;01511234555;00491331234566;SPRACHE;E;01:33
Fr. 08.04.2022;00:40:54;01555555555;01331234566;SPRACHE;E;00:08
Sa. 09.04.2022;04:13:46;00491511233333;+491331234566;SPRACHE;E;00:43
So. 10.04.2022;01:25:48;00491331234566;+491511222222;SPRACHE;S;00:20
Mo. 11.04.2022;13:21:29;01511234555;00491331234566;SPRACHE;E;00:04
Di. 12.04.2022;22:37:20;01511111111;00491331234566;SPRACHE;E;00:11
Mi. 13.04.2022;04:31:13;01555555555;01331234566;SPRACHE;E;00:52
Do. 14.04.2022;19:04:55;+491511233333;00491331234566;SPRACHE;E;01:20
Fr. 15.04.2022;04:27:26;+491221234567;01331234566;SPRACHE;E;01:24
Sa. 16.04.2022;17:22:45;+491511234444;+491331234566;SPRACHE;E;01:18
So. 17.04.2022;16:26:52;01511234555;+491331234566;SPRACHE;E;00:56
Mo. 18.04.2022;08:59:11;00491331234566;01555555555;SPRACHE;S;01:21
Di. 19.04.2022;09:10:02;+491331234566;+491511234555;SPRACHE;S;01:35
Mi. 20.04.2022;11:17:14;01511111111;+491331234566;SPRACHE;E;00:56
Do. 21.04.2022;19:40:06;00491511222222;+491331234566;SPRACHE;E;00:15
Fr. 22.04.2022;05:25:47;+491221234567;+491331234566;SPRACHE;E;01:55
Sa. 23.04.2022;12:40:07;00491331234566;00491511234444;SPRACHE;S;01:25
So. 24.04.2022;10:39:01;00491555555555;01331234566;SPRACHE;E;01:40
Mo. 25.04.2022;23:33:42;01331234566;01221234567;SPRACHE;S;01:49
Di. 26.04.2022;16:56:22;+491555555555;00491331234566;SPRACHE;E;01:09
Mi. 27.04.2022;05:51:19;01331234566;+491511111111;SPRACHE;S;01:56
Do. 28.04.2022;06:46:49;+491221234567;01331234566;SPRACHE;E;00:28
Fr. 29.04.2022;11:03:22;+491221234567;+491331234566;SPRACHE;E;01:43
Sa. 30.04.2022;11:42:04;00491511111111;01331234566;SPRACHE;E;01:41
So. 01.05.2022;15:15:13;00491331234566;+491511222222;SPRACHE;S;01:57
Mo. 02.05.2022;16:52:44;+491331234566;00491555555555;SPRACHE;S;01:19
Di. 03.05.2022;13:48:55;00491331234566;00491511234555;SPRACHE;S;00:03
Mi. 04.05.2022;20:37:25;00491331234566;01221234567;SPRACHE;S;00:41
Do. 05.05.2022;22:55:59;+491331234566;00491555555555;SPRACHE;S;01:25
Fr. 06.05.2022;15:43:31;01511234444;00491331234566;SPRACHE;E;01:51
Sa. 07.05.2022;03:51:18;00491331234566;01511234444;SPRACHE;S;00:16
So. 08.05.2022;15:02:52;01511234444;+491331234566;SPRACHE;E;01:10
Mo. 09.05.2022;10:56:28;01331234566;01511234555;SPRACHE;S;00:29
Di. 10.05.2022;22:37:00;01555555555;00491331234566;SPRACHE;E;00:15
Mi. 11.05.2022;04:33:43;00491511111111;00491331234566;SPRACHE;E;01:44
Do. 12.05.2022;04:21:06;00491331234566;00491511234555;SPRACHE;S;01:16
Fr. 13.05.2022;15:20:40;01331234566;+491511222222;SPRACHE;S;01:56
Sa. 14.05.2022;00:23:15;+491331234566;00491221234567;SPRACHE;S;01:03
So. 15.05.2022;22:47:41;01331234566;+491511111111;SPRACHE;S;01:39
Mo. 16.05.2022;09:23:21;+491511234444;+491331234566;SPRACHE;E;01:27
Di. 17.05.2022;05:31:33;00491331234566;01221234567;SPRACHE;S;00:31
Mi. 18.05.2022;01:59:02;01331234566;00491511234444;SPRACHE;S;00:14
Do. 19.05.2022;06:22:10;+491331234566;00491511233333;SPRACHE;S;01:51
Fr. 20.05.2022;20:12:21;01511111111;00491331234566;SPRACHE;E;01:45
Sa. 21.05.2022;17:04:38;01511222222;+491331234566;SPRACHE;E;01:14
So. 22.05.2022;21:56:05;01511111111;+491331234566;SPRACHE;E;01:23
Mo. 23.05.2022;02:54:52;01331234566;00491511111111;SPRACHE;S;01:06
Di. 24.05.2022;06:46:20;00491511111111;01331234566;SPRACHE;E;00:04
Mi. 25.05.2022;14:57:30;01511233333;01331234566;SPRACHE;E;00:26
Do. 26.05.2022;06:39:02;+491511233333;00491331234566;SPRACHE;E;01:03
Fr. 27.05.2022;22:11:21;+491511222222;00491331234566;SPRACHE;E;00:42
Sa. 28.05.2022;14:08:38;+491331234566;00491511234444;SPRACHE;S;01:38
